End_Year,MTD_bins,Annual_DegD_Anomaly,Annual_DegD_SD,Annual_DegD_Mean,Annual_DegD_Anomaly_SE,mean_SSC_Anomaly,mean_SSC,se_SSC_Anomaly,se_SSC,median_SSC_Anomaly,mean_NDVI_Anomaly,mean_NDVI,se_NDVI_Anomaly,se_NDVI,Q_MAX_5yr,Q_Mean_norm_Annual,Q_Max_norm_Annual,Q_MEAN_5yr,Q_MAX_baseline,Q_MAX_baseline_SD,Q_MEAN_baseline,Q_MEAN_baseline_SD,Q_MAX_Anomaly,Q_MEAN_Anomaly,Perc_Lost_Anomaly,Perc_Lost_Anomaly_SE
1990,"(3.0,3.5]",1.18409565352131,426.818548477228,5535.39869352045,0.0207050464608876,0.0678932548368045,148.813321793281,0.02305078002242,1.7578394990106,-0.0753710226106016,-0.0114758609598921,0.192531628651539,0.0231157242570861,0.000958043367710311,1.00884632153046,1.0051763217037,0.980313469103606,1.02281973754566,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.283464227609069,0.331308653133474,0.00394708133696368,0.0420884798293879
1991,"(3.0,3.5]",1.4236368750049,425.508201932716,5534.3467080761,0.00642636193390793,0.0394026385491531,147.033092328818,0.0203519838858074,1.70541785981875,-0.0871589302323852,0.00415836222213787,0.192762377898311,0.0207977916897409,0.000932728376644146,0.981125981000801,1.09124450826261,1.00988827623007,1.03269933751256,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.041062773098823,0.457393743167529,-0.0296725666761885,0.0354966569839081
1992,"(3.0,3.5]",1.14156383895241,406.551684213085,5510.53495221416,0.00853086811767523,0.0338807024231419,146.690580135818,0.0188596965068294,1.72493693913241,-0.0242799000407558,-0.0263040022586923,0.192471563633266,0.0200566237017501,0.000946553136011924,1.08039722211806,1.14143236253855,1.30610435021165,1.07306396852941,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,1.12112345985401,0.972533845297446,0.191514318533173,0.043708566622399
1993,"(3.0,3.5]",0.677773296257641,412.642711038565,5488.89412003908,0.0110259526135363,0.0249165866782033,146.02921002162,0.0175492698487655,1.7200312616989,-0.0632758604549961,0.0741148306417791,0.193556199396455,0.0173950337492606,0.000948143778219171,1.05438183089337,0.969323950513666,1.01589536491345,1.0360271135699,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.816556606594845,0.49986337201978,0.387263445883325,0.0401133893029466
1994,"(3.0,3.5]",-0.261871802740086,426.464227683604,5438.26609556601,0.0162178469261255,0.0557099863167222,146.337233121603,0.0170590353611704,1.75616492013417,0.0143705945300239,0.0325529260292182,0.193065965621197,0.0162904040886889,0.000933858329324068,1.04838962087668,0.925875342898525,0.929746643924601,1.02661049718341,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,0.746404728689541,0.379686955071197,0.171705731357798,0.0370078597396771
1995,"(3.0,3.5]",0.279179895087428,422.345512780776,5451.46974415434,0.00733452569714914,0.0616114497195945,147.515522343808,0.0172428467176958,1.83200686414246,0.0190320134911416,-0.0450494470978225,0.192464217462441,0.0165757521978904,0.00095749373804017,0.979658945715775,0.698617253750712,0.6366600932991,0.965298683592812,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.0582376184248727,-0.402784558211043,-0.0374571882450419,0.0334024270806424
1996,"(3.0,3.5]",1.08338968125003,411.76490040448,5514.77719644828,0.0152080589980615,0.0694484814475151,147.383839130295,0.0170166153366451,1.81109823737285,0.0100277180006062,0.0845269599325308,0.19404822154627,0.0166832046555786,0.00101036729892706,0.983526353517611,1.05101714678146,1.02922531523925,0.957253211296582,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.0129611813226181,-0.505462207329981,0.105891804390467,0.0384283665196447
1997,"(3.0,3.5]",0.95002372810289,409.188326140554,5492.36039968049,0.0212766807952986,0.0325312907538744,146.34478631213,0.0170962571672196,1.80935656929772,-0.0290252841962361,0.308474080241252,0.196532252042068,0.0169173216713315,0.00104037290986252,0.94977283215664,1.30202508754863,1.1373367434068,0.989371756298598,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.408119712614311,-0.0955600198010625,0.00907269949543301,0.0368813616520312
1998,"(3.0,3.5]",0.976934389899872,404.500548909879,5498.49556107115,0.0285431293181849,0.0341331182872492,145.802217994108,0.0173767560056616,1.80338835560543,-0.0585213180661956,0.422844440272964,0.197849053235542,0.0162008945707969,0.00104548963906643,0.971159842592558,1.10613934230449,1.12283041709304,1.01673483465676,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.157738143764145,0.253652115301344,0.049070341303809,0.0351167113744868
1999,"(3.0,3.5]",1.02072980025469,405.672591568385,5516.57742350362,0.0224041209241141,-0.0412447400771975,144.590382186395,0.0171235187846387,1.7808073570643,-0.11296141382126,0.278465574551363,0.196121422291346,0.0159993573213752,0.00104184546311587,0.972113756727477,0.883930375952203,0.934516214599197,1.0083458412675,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.146570499816663,0.146590393134,-0.131164126465487,0.0337128640610854
2000,"(3.0,3.5]",0.556860382304117,406.896483143616,5520.59580708879,0.0197183059634637,-0.0540443127401677,143.601135027095,0.017469168649255,1.74917595329303,-0.166900851250154,-0.0183615203364458,0.192106803005946,0.0149398616737927,0.00100664625786109,0.98285839577316,0.922676271716284,0.690383288527517,1.05315764486061,0.984633467437703,0.0854176708538658,0.996859515304904,0.0783566079401558,-0.0207810824949765,0.718486047771565,-0.244321038544896,0.032595961258037
